City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
209,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,4.61,clear sky
210,Valparaiso,CL,-33.0393,-71.6273,57.47,95,75,11.5,broken clouds
211,Bubaque,GW,11.2833,-15.8333,80.83,78,82,13.69,light rain
212,Warrington,GB,53.3925,-2.5802,59.11,70,75,9.22,broken clouds
213,Sinjai,ID,-5.1241,120.253,73.31,80,1,3.44,clear sky
214,Asgabat,TM,37.95,58.3833,82.26,17,0,2.3,clear sky
215,Lompoc,US,34.6391,-120.4579,71.74,100,40,0.0,scattered clouds
216,Ostrovnoy,RU,68.0531,39.5131,39.27,77,100,9.08,overcast clouds
217,Aripuana,BR,-9.1667,-60.6333,88.2,51,77,4.59,broken clouds
218,Niono,ML,14.2526,-5.993,92.39,47,62,1.9,broken clouds
219,Vao,NC,-22.6667,167.4833,73.17,81,2,12.26,clear sky
220,Partizanskoye,RU,55.5006,94.39,37.65,71,85,3.98,overcast clouds
221,Hellin,ES,38.5106,-1.701,79.34,25,96,9.69,overcast clouds
222,Castro,BR,-24.7911,-50.0119,68.04,45,0,3.47,clear sky
223,Mindelo,CV,16.8901,-24.9804,85.55,66,40,9.22,light rain
224,Kieta,PG,-6.2167,155.6333,78.64,82,99,1.39,overcast clouds
225,Zyryanka,RU,65.75,150.85,27.72,85,13,7.14,few clouds
226,Vila Velha,BR,-20.3297,-40.2925,76.95,58,75,14.97,broken clouds
227,Olinda,BR,-8.0089,-34.8553,82.13,65,40,10.36,scattered clouds
228,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,65.88,51,100,11.79,overcast clouds
229,Grindavik,IS,63.8424,-22.4338,54.07,100,100,36.82,fog
230,Ewo,CG,-0.8725,14.8206,78.19,75,100,4.34,overcast clouds
231,Bilibino,RU,68.0546,166.4372,24.33,90,79,2.93,broken clouds
232,Sur,OM,22.5667,59.5289,86.29,61,44,10.09,scattered clouds
233,Meulaboh,ID,4.1363,96.1285,75.61,89,97,3.71,light rain
234,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,13.8,scattered clouds
235,Palmer,US,42.1584,-72.3287,67.93,44,2,5.99,clear sky
236,Karpogory,RU,64.0019,44.4451,40.03,68,100,11.14,overcast clouds
237,Badou,TG,7.5833,0.6,75.4,92,99,0.81,light rain
238,Bandarbeyla,SO,9.4942,50.8122,76.62,87,65,22.28,broken clouds
239,Tabou,CI,4.423,-7.3528,77.99,84,82,7.27,broken clouds
240,Hukuntsi,BW,-24.0,21.75,79.52,11,0,8.75,clear sky
241,Pulivendla,IN,14.4167,78.2333,81.81,57,84,11.27,broken clouds
242,Muli,MV,2.9167,73.5667,83.59,73,87,14.7,overcast clouds
243,Rawson,AR,-43.3002,-65.1023,61.12,34,63,10.47,broken clouds
244,Lasa,IT,46.6166,10.7002,49.37,99,100,2.66,overcast clouds
245,Brae,GB,60.3964,-1.353,49.28,75,99,8.7,overcast clouds
246,Portland,US,45.5234,-122.6762,70.05,73,4,4.0,clear sky
247,Dezhou,CN,37.4486,116.2925,55.22,56,87,8.95,overcast clouds
248,Tiksi,RU,71.6872,128.8694,32.61,84,89,17.07,overcast clouds
249,Male,MV,4.1748,73.5089,84.15,79,75,10.36,broken clouds
250,Pocone,BR,-16.2567,-56.6228,100.35,22,26,3.58,scattered clouds
251,Nikolskoye,RU,59.7035,30.7861,50.79,72,98,11.61,overcast clouds
252,Straseni,MD,47.1414,28.6103,48.13,83,90,3.78,overcast clouds
253,Labuhan,ID,-6.8844,112.2051,78.8,81,99,7.67,overcast clouds
254,Duncan,US,34.5023,-97.9578,97.05,27,0,9.22,clear sky
255,Penzance,GB,50.1186,-5.5371,57.88,70,43,21.54,scattered clouds
256,Son La,VN,21.3167,103.9,66.67,96,77,2.17,broken clouds
257,Campos Novos,BR,-27.4017,-51.225,66.43,37,0,1.32,clear sky
258,Ribeira Grande,PT,38.5167,-28.7,72.0,94,75,27.63,light intensity shower rain
259,Chekhov,RU,55.1431,37.4711,46.29,95,100,8.25,light rain
260,Tessalit,ML,20.1986,1.0114,98.35,16,40,11.12,scattered clouds
261,Apt,FR,43.8833,5.4,62.89,88,81,5.37,broken clouds
262,Oranjestad,AW,12.524,-70.027,89.55,62,20,19.57,few clouds
263,El Copey,CO,10.1503,-73.9614,89.35,55,96,4.76,overcast clouds
264,Avera,US,33.194,-82.5271,79.56,28,4,2.75,clear sky
265,Lorengau,PG,-2.0226,147.2712,81.75,77,72,9.82,broken clouds
266,Sandwich,US,41.6459,-88.6217,70.68,53,17,10.22,few clouds
267,Siauliai,LT,55.9333,23.3167,46.42,87,0,2.3,clear sky
268,Gairatganj,IN,23.4202,78.2385,71.38,93,85,6.69,overcast clouds
269,Ulcinj,ME,41.9294,19.2244,62.82,50,53,2.3,broken clouds
270,Hamilton,US,39.1834,-84.5333,71.26,68,97,3.0,overcast clouds
271,Lagoa,PT,39.05,-27.9833,72.09,85,64,26.62,light rain
272,Kruisfontein,ZA,-34.0033,24.7314,62.89,74,100,3.04,overcast clouds
273,Jalu,LY,29.0331,21.5482,86.81,35,75,10.92,broken clouds
274,Sarangani,PH,5.4033,125.4636,83.86,74,89,17.6,overcast clouds
275,Riviere-Au-Renard,CA,48.9957,-64.3971,46.69,90,100,33.98,overcast clouds
276,Gambela,ET,8.25,34.5833,72.97,89,80,3.98,broken clouds
277,Tammisaari,FI,59.9736,23.4339,51.91,87,40,0.98,scattered clouds
278,Svetlyy,RU,54.675,20.1347,50.97,76,94,5.84,overcast clouds
279,Onguday,RU,50.75,86.15,45.88,79,66,1.68,broken clouds
280,Tautira,PF,-17.7333,-149.15,75.76,77,49,22.39,light rain
281,Banna,PH,17.98,120.655,76.19,83,72,4.0,light rain
282,Payson,US,40.0444,-111.7321,70.41,43,0,3.0,clear sky
283,Roebourne,AU,-20.7833,117.1333,77.79,26,2,9.98,light rain
284,Margate,GB,51.3813,1.3862,59.9,79,82,8.01,broken clouds
285,Gushikawa,JP,26.3544,127.8686,79.83,88,43,11.39,scattered clouds
286,Siyabuswa,ZA,-25.1132,29.0445,78.39,35,0,19.3,clear sky
287,Saint-Francois,FR,46.4154,3.9054,63.84,59,94,3.44,light rain
288,Nabire,ID,-3.3667,135.4833,74.37,95,100,4.34,overcast clouds
289,Mehamn,NO,71.0357,27.8492,49.95,76,100,12.66,overcast clouds
290,Ust-Kulom,RU,61.6864,53.6902,41.22,85,99,10.87,overcast clouds
291,Sibu,MY,2.3,111.8167,73.71,100,40,3.44,scattered clouds
292,Cockburn Town,TC,21.4612,-71.1419,83.34,77,67,13.71,broken clouds
293,Chimbote,PE,-9.0853,-78.5783,66.51,71,96,12.68,overcast clouds
294,Beringovskiy,RU,63.05,179.3167,37.13,85,69,11.07,broken clouds
295,Miri,MY,4.4148,114.0089,75.34,100,20,4.61,few clouds
296,Nadym,RU,65.5333,72.5167,29.68,83,96,9.62,overcast clouds
297,Daru,PG,-9.0763,143.2092,77.92,87,98,11.21,overcast clouds
298,Dikson,RU,73.5069,80.5464,33.15,72,100,20.2,overcast clouds
299,Dubti,ET,11.7361,41.0853,86.23,50,91,21.16,moderate rain
