City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Lamar,US,2022-09-20 17:46:23,33.6668,-95.5836,96.64,47,40,4.61
252,Gadung,PH,2022-09-20 17:46:24,6.8025,124.02,78.08,85,100,3.6
253,Ulkan,RU,2022-09-20 17:46:24,57.243,107.3223,43.7,92,100,11.16
254,Smederevo,RS,2022-09-20 17:46:25,44.6628,20.93,53.82,88,97,5.08
255,Praia Da Vitoria,PT,2022-09-20 17:46:25,38.7333,-27.0667,79.75,83,75,2.39
256,Qaqortoq,GL,2022-09-20 17:46:25,60.7167,-46.0333,43.5,83,73,4.09
257,Katete,UG,2022-09-20 17:46:26,-0.7818,29.7544,63.39,87,72,3.91
258,Maumere,ID,2022-09-20 17:46:26,-8.6199,122.2111,79.07,77,60,7.25
259,Chokurdakh,RU,2022-09-20 17:46:26,70.6333,147.9167,31.55,92,100,14.29
260,Juba,SS,2022-09-20 17:46:27,4.8517,31.5825,76.35,69,50,1.88
261,Opuwo,NA,2022-09-20 17:46:27,-18.0607,13.84,76.44,14,3,6.26
262,Gweru,ZW,2022-09-20 17:46:27,-19.45,29.8167,77.79,25,91,13.2
263,Manzhouli,CN,2022-09-20 17:46:27,49.6,117.4333,48.33,49,96,9.66
264,Cherskiy,RU,2022-09-20 17:46:28,68.75,161.3,40.62,40,100,14.43
265,Namatanai,PG,2022-09-20 17:46:28,-3.6667,152.4333,78.15,82,97,5.55
266,Bonthe,SL,2022-09-20 17:46:28,7.5264,-12.505,78.67,81,100,9.28
267,Mayo,US,2022-09-20 17:46:29,38.8876,-76.5119,85.33,52,0,9.22
268,Pemangkat,ID,2022-09-20 17:46:29,1.1667,108.9667,78.49,80,100,5.14
269,Villazon,BO,2022-09-20 17:46:29,-22.0866,-65.5942,68.31,2,1,28.48
270,Sadao,TH,2022-09-20 17:46:30,6.6388,100.4234,76.55,97,99,2.42
271,Panguna,PG,2022-09-20 17:46:30,-6.3164,155.4848,67.51,95,100,1.36
272,Isangel,VU,2022-09-20 17:46:31,-19.55,169.2667,74.01,87,5,6.44
273,Tari,NG,2022-09-20 17:46:31,12.4086,4.4914,79.88,76,66,6.93
274,Pimenta Bueno,BR,2022-09-20 17:46:31,-11.6725,-61.1936,100.22,26,33,4.63
275,Nurota,UZ,2022-09-20 17:47:32,40.5614,65.6886,74.64,20,0,6.87
276,Iqaluit,CA,2022-09-20 17:43:31,63.7506,-68.5145,38.93,93,100,0.0
277,Talagante,CL,2022-09-20 17:47:32,-33.6667,-70.9333,55.35,46,45,7.47
278,Seydi,TM,2022-09-20 17:47:32,39.4816,62.9137,77.83,16,0,9.04
279,Tema,GH,2022-09-20 17:47:33,5.667,-0.0166,79.21,83,75,11.5
280,Daru,PG,2022-09-20 17:47:34,-9.0763,143.2092,79.5,87,100,16.28
281,Cabedelo,BR,2022-09-20 17:47:34,-6.9811,-34.8339,84.87,64,44,14.05
282,Lorengau,PG,2022-09-20 17:47:34,-2.0226,147.2712,79.97,81,100,9.13
283,Dutse,NG,2022-09-20 17:47:35,11.7594,9.3392,81.48,61,8,3.22
284,Port Hawkesbury,CA,2022-09-20 17:47:35,45.6169,-61.3485,57.18,81,100,10.36
285,Dukat,RU,2022-09-20 17:47:35,62.55,155.55,34.32,100,100,4.05
286,Sao Jose Da Coroa Grande,BR,2022-09-20 17:47:35,-8.8978,-35.1478,79.27,65,2,8.39
287,Uvira,CD,2022-09-20 17:47:36,-3.4067,29.1458,79.54,64,23,2.86
288,Russellville,US,2022-09-20 17:44:47,35.2784,-93.1338,95.18,53,0,3.44
289,Moron,AR,2022-09-20 17:45:47,-34.6534,-58.6198,66.02,57,90,4.97
290,Waipawa,NZ,2022-09-20 17:47:36,-41.4122,175.5153,44.73,91,55,2.01
291,Pundaguitan,PH,2022-09-20 17:47:36,6.3711,126.1689,83.57,71,73,6.96
292,Yarada,IN,2022-09-20 17:47:36,17.65,83.2667,80.92,94,75,2.3
293,Caravelas,BR,2022-09-20 17:47:37,-17.7125,-39.2481,78.22,62,77,9.84
294,Gimli,CA,2022-09-20 17:47:37,50.6336,-96.9907,60.82,72,21,14.97
