City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
196,Hami,CN,70.79,clear sky,42.8,93.45,Laoyutang Resort
199,Honiara,SB,77.4,few clouds,-9.4333,159.95,Heritage Park Hotel
200,Tual,ID,81.64,broken clouds,-5.6667,132.75,Grand Vilia Hotel
201,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
202,Champerico,GT,88.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
203,Neyshabur,IR,75.27,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
205,Katsuura,JP,71.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
211,Bubaque,GW,80.83,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
213,Sinjai,ID,73.31,clear sky,-5.1241,120.253,Wisma Sandika
214,Asgabat,TM,82.26,clear sky,37.95,58.3833,Oguzkent Hotel
215,Lompoc,US,71.74,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
217,Aripuana,BR,88.2,broken clouds,-9.1667,-60.6333,
219,Vao,NC,73.17,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
221,Hellin,ES,79.34,overcast clouds,38.5106,-1.701,Hotel Restaurante Reina Victoria
223,Mindelo,CV,85.55,light rain,16.8901,-24.9804,Hotel Gaudi
224,Kieta,PG,78.64,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
226,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
227,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
230,Ewo,CG,78.19,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
232,Sur,OM,86.29,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
233,Meulaboh,ID,75.61,light rain,4.1363,96.1285,Kost Pria
234,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
237,Badou,TG,75.4,light rain,7.5833,0.6,Hôtel Abuta
238,Bandarbeyla,SO,76.62,broken clouds,9.4942,50.8122,JABIR HOTEL
239,Tabou,CI,77.99,broken clouds,4.423,-7.3528,hotêl doufoulougou
240,Hukuntsi,BW,79.52,clear sky,-24.0,21.75,Its me guest house
241,Pulivendla,IN,81.81,broken clouds,14.4167,78.2333,Kothabalaji
242,Muli,MV,83.59,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
246,Portland,US,70.05,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
249,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
253,Labuhan,ID,78.8,overcast clouds,-6.8844,112.2051,DoubleFAG
258,Ribeira Grande,PT,72.0,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
262,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
263,El Copey,CO,89.35,overcast clouds,10.1503,-73.9614,San José
264,Avera,US,79.56,clear sky,33.194,-82.5271,
265,Lorengau,PG,81.75,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Sandwich,US,70.68,few clouds,41.6459,-88.6217,The Montcler Hotel
268,Gairatganj,IN,71.38,overcast clouds,23.4202,78.2385,new garib namz road lines
270,Hamilton,US,71.26,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
271,Lagoa,PT,72.09,light rain,39.05,-27.9833,Casa Das Faias
273,Jalu,LY,86.81,broken clouds,29.0331,21.5482,صاحبة الفخامة
274,Sarangani,PH,83.86,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
276,Gambela,ET,72.97,broken clouds,8.25,34.5833,Solomon Debebe Hotel
280,Tautira,PF,75.76,light rain,-17.7333,-149.15,Pension Oaoa
281,Banna,PH,76.19,light rain,17.98,120.655,EDWIN'S PLACE
282,Payson,US,70.41,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
283,Roebourne,AU,77.79,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
285,Gushikawa,JP,79.83,scattered clouds,26.3544,127.8686,Kirari Guest House
286,Siyabuswa,ZA,78.39,clear sky,-25.1132,29.0445,Confy Inn Guest Rooms
288,Nabire,ID,74.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
291,Sibu,MY,73.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
292,Cockburn Town,TC,83.34,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
295,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
297,Daru,PG,77.92,overcast clouds,-9.0763,143.2092,Daru Lodge
299,Dubti,ET,86.23,moderate rain,11.7361,41.0853,degu Shiferaw
301,Kpandu,GH,77.05,light rain,6.9954,0.2931,Emo House
302,Dicabisagan,PH,77.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
303,Villa Maria,AR,77.83,overcast clouds,-32.4075,-63.2402,Hotel Milenium
306,Chinchani,IN,78.85,few clouds,19.8667,72.7,Vasantshrushti Farm
309,Sadat,IN,80.13,overcast clouds,25.6833,83.2833,Tuntun Niwas
310,Mecca,SA,89.04,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
312,Axim,GH,77.36,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
314,Buala,SB,79.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
315,San Vicente,AR,73.67,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
317,Portalegre,PT,70.23,scattered clouds,39.2938,-7.4312,Rossio Hotel
318,Odweyne,SO,78.53,overcast clouds,9.4092,45.064,Eng Hiirey House
319,Ndungu,TZ,72.46,overcast clouds,-4.3667,38.05,Nick Resort
320,Keti Bandar,PK,81.37,broken clouds,24.1447,67.4497,Haji laloo memon house
321,Bud,US,74.48,broken clouds,39.447,-86.1758,Ted McQuinn Trust
323,Grand Gaube,MU,72.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
324,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
325,Seoni,IN,70.11,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
328,Pinheiro,BR,88.56,overcast clouds,-2.5214,-45.0825,Solares Hotel
330,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
331,Hambantota,LK,78.98,broken clouds,6.1241,81.1185,Bungalow 63
332,Qandala,SO,87.66,broken clouds,11.472,49.8728,
337,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
338,Rong Kwang,TH,72.72,broken clouds,18.339,100.3174,Rong Kwang Hotel
342,Teknaf,BD,78.94,overcast clouds,20.8624,92.3058,Forestry Guesthouse
343,Marsabit,KE,74.01,few clouds,2.3284,37.9899,Chicho Hotel
347,Luganville,VU,78.39,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
348,Kahului,US,81.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
349,Tandalti,SD,88.88,scattered clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
355,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
356,Chimore,BO,89.13,overcast clouds,-16.9833,-65.1333,Bichito
359,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
367,Makokou,GA,71.96,overcast clouds,0.5738,12.8642,Hôtel
369,Padang,ID,77.43,overcast clouds,-0.9492,100.3543,Mercure Padang
371,Itamaraca,BR,82.45,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
372,Carupano,VE,86.16,scattered clouds,10.6678,-63.2585,Hotel La dorada
373,Auki,SB,76.57,light rain,-8.7676,160.7034,Auki Motel
374,Bengkulu,ID,74.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
376,Isangel,VU,75.11,clear sky,-19.55,169.2667,Tanna Lodge
380,Fez,MA,80.85,scattered clouds,34.0372,-4.9998,Hotel Mounia Fès
383,Sola,VU,80.29,broken clouds,-13.8833,167.55,Leumerus Bungalows
384,North Myrtle Beach,US,80.11,clear sky,33.816,-78.68,Avista Resort
385,Ajdabiya,LY,78.96,scattered clouds,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
388,Boende,CD,71.04,overcast clouds,-0.2167,20.8667,
390,Tado,CO,87.51,overcast clouds,5.266,-76.5649,Onney Quinto Renteria
391,Makakilo City,US,79.61,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Emilio Carranza,MX,83.82,few clouds,19.9711,-96.6114,Hotel Carranza Inn
394,Nizwa,OM,89.91,scattered clouds,22.9333,57.5333,Orient Apartments
396,Mlonggo,ID,78.46,overcast clouds,-6.5333,110.7,Asia Metal Art
399,Santa Cruz,BO,87.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
400,San Juan Del Cesar,CO,89.11,scattered clouds,10.7711,-73.0031,Hotel Saraje
402,Kutum,SD,85.73,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
403,Mogadishu,SO,77.52,clear sky,2.0371,45.3438,Hotel Juba
405,Torit,SS,78.1,scattered clouds,4.4133,32.5678,Diplomat Guest House
406,Koumac,NC,71.96,clear sky,-20.5667,164.2833,Le Monitel
409,Tandil,AR,71.69,broken clouds,-37.3217,-59.1332,Hostal de la Sierra Tandil
410,Anamoros,SV,86.11,broken clouds,13.7406,-87.8736,Hotel y Restaurante Romega Inn
411,Werda,BW,80.04,clear sky,-25.2667,23.2833,
412,Akdepe,TM,79.38,clear sky,42.0551,59.3788,
414,Wanning,CN,77.74,scattered clouds,18.8003,110.3967,Paradise Hotel
416,Iralaya,HN,84.6,overcast clouds,15.0,-83.2333,Iglesia morava renovada
418,Benguela,AO,70.72,broken clouds,-12.5763,13.4055,Hotel Praia Morena
419,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Nusa Island Retreat
420,Aquiraz,BR,84.29,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
421,Vila Franca Do Campo,PT,73.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
422,San Ramon,US,85.14,clear sky,37.7799,-121.978,San Ramon Marriott
424,Mayumba,GA,76.01,overcast clouds,-3.432,10.6554,LIKWALE LODGE
425,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
431,Moron,AR,73.8,scattered clouds,-34.6534,-58.6198,Hotel Morón
432,Belmonte,BR,75.69,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
433,Beirut,LB,76.37,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
435,Riyadh,SA,87.93,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
436,Balud,PH,79.36,overcast clouds,10.1476,123.6953,Pulchra Resort
437,Sakakah,SA,87.13,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
438,Guider,CM,78.96,light rain,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
439,Coruripe,BR,80.02,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
441,Formosa,AR,74.75,scattered clouds,-26.1775,-58.1781,Asterión Departamentos
444,Lazaro Cardenas,MX,84.2,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
446,Buchanan,LR,76.75,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
447,Ellenabad,IN,73.53,overcast clouds,29.45,74.65,Lovelysweets
450,Praia Da Vitoria,PT,74.75,light rain,38.7333,-27.0667,Hotel Branco I
451,Pedernales,DO,85.75,overcast clouds,18.0384,-71.744,Hotel Costa Marina
452,Tezu,IN,72.97,light rain,27.9167,96.1667,Circuit House
455,Conversion,PH,72.97,light rain,15.8984,121.1277,
458,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
460,Marsh Harbour,BS,83.16,few clouds,26.5412,-77.0636,Abaco Beach Resort
463,Samana,DO,86.52,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
464,Nouadhibou,MR,77.13,overcast clouds,20.931,-17.0347,El Medina
465,Zambezi,ZM,78.19,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
473,Normal,US,74.17,clear sky,40.5142,-88.9906,"Holiday Inn Express & Suites Bloomington - Normal, an IHG Hotel"
475,Kelo,TD,76.21,overcast clouds,9.3086,15.8066,Plantation de Kelo
478,Carutapera,BR,85.82,broken clouds,-1.195,-46.02,Lidera
479,Kulhudhuffushi,MV,82.58,broken clouds,6.6221,73.07,Haajy Guest House 1
486,Lisala,CD,71.13,broken clouds,2.15,21.5167,Guest house Eden
488,Aden,YE,89.46,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
490,Manokwari,ID,78.46,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
491,Methoni,GR,71.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
